pl_orbper,pl_discmethod,st_dist,pl_rade,pl_bmasse,pl_orbsmax,st_teff,pl_pnum,st_rad,st_mass,pl_publ_date
31.71977500,Transit,596.52,2.210,,0.198000,5960.00,2,1.15,,2014-03
3.34181500,Transit,669.92,1.580,,0.046000,5952.00,2,1.16,,2014-03
8.88491160,Transit,855.50,11.770,3209.90000,0.081800,5200.00,1,0.89,0.91,2013-06
1.54492980,Orbital Brightness Modulation,842.87,15.244,638.83830,0.027400,6409.00,1,1.32,1.20,2013-07
3.57878087,Transit,570.00,10.761,136.66100,0.045010,5520.00,1,0.99,0.95,2013-09
0.35500744,Transit,124.82,1.121,3.17830,,5089.00,1,0.75,0.84,2013-09
13.48450000,Transit,1051.43,3.470,10.90000,0.117000,6174.00,4,1.30,1.17,2013-10
27.40290000,Transit,1051.43,3.720,5.90000,0.187000,6174.00,4,1.30,1.17,2013-10
52.09020000,Transit,1051.43,7.160,6.00000,0.287000,6174.00,4,1.30,1.17,2014-03
81.06590000,Transit,1051.43,3.490,4.10000,0.386000,6174.00,4,1.30,1.17,2014-03
7.05246000,Transit,357.00,2.670,6.93000,0.064800,4540.00,6,0.68,0.73,2013-10
9.52355000,Transit,357.00,2.740,6.74000,0.079200,4540.00,6,0.68,0.73,2013-10
3.07222000,Transit,357.00,1.530,6.75000,0.037200,4540.00,6,0.68,0.73,2014-03
16.70918400,Transit,318.06,2.120,,0.111000,4623.00,2,0.62,,2014-03
28.55138300,Transit,318.06,1.900,,0.158000,4623.00,2,0.62,,2014-03
10.13962300,Transit,377.79,2.380,,0.082000,4625.00,2,0.66,,2014-03
43.59579200,Transit,377.79,3.410,,0.218000,4625.00,2,0.66,,2014-03
4.30942700,Transit,962.92,1.540,,0.050000,5857.00,2,0.88,,2014-03
13.69908700,Transit,962.92,3.610,,0.109000,5857.00,2,0.88,,2014-03
4.92135500,Transit,440.15,2.120,,0.054000,5078.00,2,0.81,,2014-03
7.06424000,Transit,440.15,2.050,,0.068000,5078.00,2,0.81,,2014-03
6.91979800,Transit,877.01,1.260,,0.069000,5816.00,2,0.96,,2014-03
19.44635500,Transit,877.01,3.030,,0.137000,5816.00,2,0.96,,2014-03
7.81093700,Transit,703.69,1.050,,0.078000,5776.00,2,0.92,,2014-03
21.34726200,Transit,703.69,2.260,,0.152000,5776.00,2,0.92,,2014-03
5.03503000,Transit,914.18,1.410,,0.058000,5888.00,3,1.15,,2014-03
10.94572300,Transit,914.18,2.730,,0.097000,5888.00,3,1.15,,2014-03
28.98676900,Transit,914.18,2.450,,0.187000,5888.00,3,1.15,,2014-03
8.18084800,Transit,570.07,2.320,,0.072000,5211.00,2,0.77,,2014-03
15.31299000,Transit,570.07,2.230,,0.110000,5211.00,2,0.77,,2014-03
1353.60000000,Radial Velocity,37.50,,111.42000,2.395000,5657.00,2,1.08,0.96,2009-03
712.13000000,Radial Velocity,122.95,,2330.00000,1.930000,4424.00,1,22.39,0.91,2003-02
778.51000000,Radial Velocity,90.78,,484.69075,1.814000,5733.00,1,1.90,1.31,2009-03
4.94737000,Radial Velocity,43.09,,31.78300,0.060000,5602.00,1,1.02,1.03,2003-01
2447.10000000,Radial Velocity,46.35,,519.96988,3.833000,6102.00,2,1.35,1.25,2005-10
1293.00000000,Radial Velocity,31.19,,1574.46400,2.353000,5987.00,1,1.02,1.04,2002-05
119.27000000,Radial Velocity,30.01,,384.57430,0.520000,6136.00,1,,1.20,2000-12
201.90000000,Radial Velocity,25.99,,336.89980,0.770000,6245.00,2,2.57,1.50,2008-12
600.10000000,Radial Velocity,25.99,,797.75330,1.600000,6245.00,2,2.57,1.50,2008-12
589.64000000,Radial Velocity,10.34,,731.00000,1.640000,4946.00,1,8.31,2.10,2006-10
2.81805000,Radial Velocity,37.73,,79.45750,0.040000,4812.00,1,0.77,0.42,2005-08
358.00000000,Radial Velocity,32.57,,168.44990,0.940000,5449.00,1,0.83,0.65,2011-11
577.60000000,Radial Velocity,35.16,,411.58985,1.301000,5612.00,2,,0.87,2004-02
5370.00000000,Radial Velocity,35.16,,645.19490,5.750000,5612.00,2,,0.87,2013-09
480.50000000,Radial Velocity,68.16,,1906.90000,1.200000,4323.00,1,21.40,1.10,2012-12
2263.12000000,Radial Velocity,53.36,,1018.32732,3.467000,5773.00,1,1.10,1.08,2006-07
352.20000000,Radial Velocity,76.69,,973.00000,1.080000,6330.00,2,1.55,1.36,2015-06
673.20000000,Radial Velocity,147.78,,647.10188,1.740000,4842.00,1,6.12,1.55,2010-05
160.07000000,Radial Velocity,59.03,,177.98480,0.586000,5726.00,2,0.89,1.05,2012-09
1155.70000000,Radial Velocity,59.03,,232.01590,2.112000,5726.00,2,0.89,1.05,2012-09
875.50000000,Radial Velocity,314.48,,3146.40000,2.100000,4035.00,1,51.10,1.60,2013-01
